X,Y,C
8.649043935,-5.4418809,1
6.591870523,-6.047484589,1
5.456186099,-6.542090728,1
7.157811088,-5.788100347,1
7.356957185,-5.968531186,1
6.784695885,-6.305197991,1
5.9100461,-6.690546006,1
8.920450527,-4.848066039,1
4.761559454,-7.642679552,1
6.516198038,-6.28749689,1
5.746195876,-6.46272126,1
6.396515754,-6.496425891,1
7.301540333,-5.699142008,1
7.130963808,-5.966727423,1
6.325737505,-6.627705118,1
7.737130268,-5.61597338,1
7.590454721,-5.831333206,1
7.614159433,-5.870332939,1
6.596210332,-6.428142592,1
7.994771054,-5.536398009,1
7.626801778,-6.366833658,1
9.380030544,-5.081467081,1
8.008886398,-5.741632072,1
8.09755225,-5.831001407,1
7.050260129,-5.749476813,1
5.777729718,-6.799934634,1
6.647828603,-5.967513698,1
6.281095465,-5.978356275,1
6.464972108,-6.292632534,1
7.52665068,-5.668813569,1
6.47179395,-6.011181109,1
6.150821119,-6.405722989,1
6.611677627,-5.983497924,1
6.847369412,-6.509232211,1
7.388328737,-5.439202,1
6.09625014,-6.747620635,1
7.301033786,-6.505573643,1
7.074016348,-5.483079082,1
8.256422356,-5.463519536,1
6.79776872,-5.932936421,1
6.872422356,-6.183697408,1
5.888754299,-6.850685942,1
5.685824429,-7.658403888,1
7.294574056,-5.650129213,1
6.763313891,-6.205419584,1
7.477893572,-5.856594519,1
6.153147036,-6.234578261,1
8.810573772,-5.691508954,1
7.115958224,-6.203479218,1
7.993302973,-5.157422815,1
6.784724597,-5.886662718,1
6.845837122,-6.516456542,1
7.65464071,-6.479316251,1
7.527237167,-5.965381769,1
5.937232791,-6.397527182,1
5.545959737,-6.316782362,1
5.958471184,-6.430134988,1
5.656879496,-6.989305934,1
7.056513622,-5.867849158,1
6.609853116,-6.583250343,1
6.650874364,-6.491123694,1
5.70887701,-6.80238013,1
7.739562599,-6.101105157,1
7.416861983,-5.909458216,1
6.914976647,-6.352413355,1
7.968776522,-5.669309373,1
6.170870279,-6.530166034,1
7.393419242,-5.968409123,1
7.330560347,-6.029123004,1
7.331331832,-5.4215771,1
6.308175297,-6.094113142,1
7.310067885,-5.841540251,1
6.511540394,-6.729942062,1
6.149556509,-6.946360502,1
5.858479568,-7.194225653,1
7.984558364,-4.651634387,1
6.197466855,-6.016736296,1
6.835959524,-5.983065573,1
5.853371983,-6.85020979,1
6.718120767,-6.526052029,1
3.933819724,-7.171290403,1
5.968819933,-5.911144275,1
5.64676384,-7.193436232,1
6.0376075,-6.584840642,1
6.79767698,-6.119390099,1
6.691347995,-6.833586757,1
8.84461771,-4.886067941,1
6.457568297,-6.386046737,1
6.762798554,-5.436918804,1
5.511216624,-6.79834085,1
6.54711504,-6.058230941,1
5.730683896,-6.963536748,1
7.028744178,-6.205679029,1
7.809309168,-6.048895992,1
7.383508511,-5.692306297,1
6.335333305,-5.84028049,1
5.453131191,-6.895036159,1
16.41398205,-7.408204878,0
15.52151974,-7.788651949,0
16.09686788,-7.787201047,0
17.13486291,-7.136918095,0
16.1141103,-7.644875927,0
15.01636399,-8.570635242,0
15.18688047,-8.211444189,0
15.83884308,-8.176202208,0
15.8181675,-8.395411131,0
15.17861557,-8.14315086,0
16.17139305,-7.900243339,0
17.20153441,-7.5314026,0
15.76171989,-8.003913492,0
15.80592781,-7.740953329,0
13.91145294,-8.790872054,0
15.26523235,-8.258547664,0
14.67822557,-8.489641656,0
15.63358564,-8.144944056,0
16.49861499,-8.04914902,0
17.44510012,-7.082672074,0
17.70620165,-6.749130131,0
15.88911385,-8.236005174,0
15.69623523,-7.461056534,0
16.77556404,-7.716921532,0
16.46500584,-7.878546585,0
16.72598099,-7.991145618,0
16.73834033,-7.948852047,0
14.59565921,-8.957314227,0
16.51263426,-7.648436159,0
15.91315846,-7.480271127,0
15.27876127,-8.136145392,0
15.34199759,-7.993813873,0
17.21569757,-6.990576468,0
15.23181545,-9.215259618,0
14.82665109,-8.580067639,0
16.20366945,-7.78606505,0
17.90758559,-6.901430163,0
16.02424306,-8.445405286,0
16.29247853,-8.221664296,0
15.10990054,-8.119174486,0
17.58830071,-7.334842253,0
16.11857419,-7.753938503,0
16.50289821,-8.112333942,0
15.09678878,-8.972609346,0
16.81021616,-7.373786066,0
16.36917606,-7.418738052,0
14.90332108,-7.916840838,0
16.03770079,-8.518902095,0
15.57252463,-8.657356597,0
16.1036417,-8.469198106,0
15.7623047,-8.120207888,0
15.81984347,-8.295252748,0
15.0200922,-7.97608218,0
15.69329835,-8.645007412,0
16.72719122,-8.285934327,0
17.65514231,-7.192606074,0
14.89903413,-8.072266179,0
18.25541092,-7.278264471,0
17.44776467,-7.79901926,0
16.15986025,-7.981157681,0
15.7142504,-8.699106409,0
15.33719836,-8.288514871,0
16.79003554,-7.359266464,0
15.3410396,-8.216749322,0
15.56181932,-8.862224618,0
16.83827282,-7.815108794,0
16.41357296,-7.921781176,0
16.85072925,-6.987864451,0
16.47883084,-7.46735142,0
15.61967558,-8.188988661,0
15.51252097,-7.758900501,0
16.75550064,-8.029464673,0
15.3632531,-8.404753726,0
17.12576361,-7.005825068,0
16.75012575,-7.141373273,0
16.27295658,-7.623344364,0
16.00306056,-7.827071309,0
16.34685492,-8.050753685,0
19.34570034,-6.252602955,0
15.89333322,-8.336932879,0
14.52328533,-8.455463488,0
17.81682556,-7.093989394,0
16.57855077,-7.344561495,0
15.38533706,-8.422068182,0
18.48302192,-6.674038322,0
16.52267746,-7.490401509,0
16.27910612,-8.190028124,0
15.26207258,-8.273344084,0
14.9897186,-7.890609275,0
14.32233514,-8.706319571,0
15.5987833,-8.286214721,0
15.00093931,-8.284377425,0
16.61451458,-7.82305847,0
15.69867144,-7.978999491,0
17.67821276,-7.30124195,0
17.43306429,-7.369490142,0
16.15559385,-7.769753836,0
15.73174679,-7.642954146,0
17.09304046,-7.356227559,0
14.91232736,-7.907130275,0
16.6391267,-8.425065012,0
15.36522368,-8.439184317,0
15.62022054,-8.086286952,0
15.36267226,-8.575235706,0
16.54608963,-8.203371184,0
15.26183568,-8.112355748,0
14.99101725,-8.234234525,0
16.52460128,-7.665675371,0
15.59830013,-8.040329592,0
16.3430317,-8.151892802,0
15.66616855,-8.322362857,0
16.25570877,-7.923644441,0
13.56714973,-9.321733882,0
16.44195752,-7.687547903,0
17.75844231,-6.391580539,0
16.98595644,-7.73038642,0
16.86415237,-7.389582477,0
15.77257093,-8.462717518,0
16.17170986,-7.45537227,0
16.23171547,-8.235829675,0
16.09144632,-7.886389601,0
15.21214841,-8.566418325,0
15.66582423,-7.969520383,0
15.83419384,-8.069722175,0
15.54401213,-8.21803983,0
16.79389301,-6.616147211,0
18.40808962,-7.150003952,0
14.7445749,-8.574355888,0
16.12175426,-7.007893362,0
14.63163899,-9.009046896,0
17.23566778,-7.257484326,0
17.33755949,-7.781862149,0
14.42277325,-8.340675028,0
17.843941,-7.065965278,0
14.97096469,-8.229364267,0
16.21517937,-8.001855392,0
17.04253578,-7.45093106,0
16.13963551,-7.423144718,0
18.17785981,-7.827444514,0
18.61130569,-7.41042295,0
16.13121972,-7.796430961,0
14.19079814,-9.032998837,0
15.65373724,-8.257498804,0
15.1954122,-8.880921833,0
15.27449126,-8.638781122,0
14.93017476,-8.616780943,0
16.0741765,-8.220773847,0
17.99852437,-7.414692667,0
15.32088753,-8.449306641,0
15.73387948,-8.447834715,0
